=== EXP3: Gamma Initialization Strategies ===

[EXP3] Dataset: xor_1d
[EXP3][xor_2d][Net1L][small_randn] epoch 180/200 | loss=0.0762 | acc=1.0000
[EXP3][xor_2d][Net1L][small_randn] epoch 200/200 | loss=0.0945 | acc=1.0000
[EXP3][xor_2d][Full][medium_randn] epoch 001/200 | loss=1.9896 | acc=0.5000
[EXP3][xor_2d][Full][medium_randn] epoch 020/200 | loss=0.6434 | acc=0.5500
[EXP3][xor_2d][Full][medium_randn] epoch 040/200 | loss=0.5774 | acc=0.6750
[EXP3][xor_2d][Full][medium_randn] epoch 060/200 | loss=0.5301 | acc=0.6625
[EXP3][xor_2d][Full][medium_randn] epoch 080/200 | loss=0.5066 | acc=0.6625
[EXP3][xor_2d][Full][medium_randn] epoch 100/200 | loss=0.4938 | acc=0.6500
[EXP3][xor_2d][Full][medium_randn] epoch 120/200 | loss=0.4836 | acc=0.6750
[EXP3][xor_2d][Full][medium_randn] epoch 140/200 | loss=0.4735 | acc=0.6750
[EXP3][xor_2d][Full][medium_randn] epoch 160/200 | loss=0.4707 | acc=0.6750
[EXP3][xor_2d][Full][medium_randn] epoch 180/200 | loss=0.4711 | acc=0.6625
[EXP3][xor_2d][Full][medium_randn] epoch 200/200 | loss=0.4673 | acc=0.6625
[EXP3][xor_2d][Net1L][medium_randn] epoch 001/200 | loss=2.4330 | acc=0.5000
[EXP3][xor_2d][Net1L][medium_randn] epoch 020/200 | loss=0.2498 | acc=0.8750
[EXP3][xor_2d][Net1L][medium_randn] epoch 040/200 | loss=0.2367 | acc=0.9000
[EXP3][xor_2d][Net1L][medium_randn] epoch 060/200 | loss=0.2147 | acc=0.8750
[EXP3][xor_2d][Net1L][medium_randn] epoch 080/200 | loss=0.2098 | acc=0.9250
[EXP3][xor_2d][Net1L][medium_randn] epoch 100/200 | loss=0.1856 | acc=0.8750
[EXP3][xor_2d][Net1L][medium_randn] epoch 120/200 | loss=0.1723 | acc=0.9250
[EXP3][xor_2d][Net1L][medium_randn] epoch 140/200 | loss=0.1895 | acc=0.8875
[EXP3][xor_2d][Net1L][medium_randn] epoch 160/200 | loss=0.1653 | acc=0.9250
[EXP3][xor_2d][Net1L][medium_randn] epoch 180/200 | loss=0.1515 | acc=0.9250
[EXP3][xor_2d][Net1L][medium_randn] epoch 200/200 | loss=0.1621 | acc=0.9375
[EXP3][xor_2d][Full][large_randn] epoch 001/200 | loss=9.1520 | acc=0.5000
[EXP3][xor_2d][Full][large_randn] epoch 020/200 | loss=0.7006 | acc=0.5000
[EXP3][xor_2d][Full][large_randn] epoch 040/200 | loss=0.6925 | acc=0.5000
[EXP3][xor_2d][Full][large_randn] epoch 060/200 | loss=0.7059 | acc=0.5000
[EXP3][xor_2d][Full][large_randn] epoch 080/200 | loss=0.6973 | acc=0.5000
[EXP3][xor_2d][Full][large_randn] epoch 100/200 | loss=0.7235 | acc=0.5000
[EXP3][xor_2d][Full][large_randn] epoch 120/200 | loss=0.7118 | acc=0.5000
[EXP3][xor_2d][Full][large_randn] epoch 140/200 | loss=0.7023 | acc=0.5000
[EXP3][xor_2d][Full][large_randn] epoch 160/200 | loss=0.7088 | acc=0.5000
[EXP3][xor_2d][Full][large_randn] epoch 180/200 | loss=0.6989 | acc=0.5625
[EXP3][xor_2d][Full][large_randn] epoch 200/200 | loss=0.7172 | acc=0.5000
[EXP3][xor_2d][Net1L][large_randn] epoch 001/200 | loss=10.6783 | acc=0.5000
[EXP3][xor_2d][Net1L][large_randn] epoch 020/200 | loss=0.6875 | acc=0.4875
[EXP3][xor_2d][Net1L][large_randn] epoch 040/200 | loss=0.6901 | acc=0.6625
[EXP3][xor_2d][Net1L][large_randn] epoch 060/200 | loss=0.6793 | acc=0.5500
[EXP3][xor_2d][Net1L][large_randn] epoch 080/200 | loss=0.6823 | acc=0.5500
[EXP3][xor_2d][Net1L][large_randn] epoch 100/200 | loss=0.6508 | acc=0.6000
[EXP3][xor_2d][Net1L][large_randn] epoch 120/200 | loss=0.6473 | acc=0.6125
[EXP3][xor_2d][Net1L][large_randn] epoch 140/200 | loss=0.6418 | acc=0.6250
[EXP3][xor_2d][Net1L][large_randn] epoch 160/200 | loss=0.5977 | acc=0.6875
[EXP3][xor_2d][Net1L][large_randn] epoch 180/200 | loss=0.5946 | acc=0.6625
[EXP3][xor_2d][Net1L][large_randn] epoch 200/200 | loss=0.6057 | acc=0.6375
[EXP3][xor_2d][Full][theta_ratio] epoch 001/200 | loss=63766067.2000 | acc=0.5000
