
[RUN 20260518_104348]
Device: cuda | Batch: 32 | Epochs: 200 | K-Folds: 5
Model: size=50, perceptrons=5, partition=False, workers=16
LR: gamma=0.0010, lambda=0.0050, offset=0.0100, combiner=0.0050
SA: beta=[1, 10], reads=1, sweeps=1000
Init: lambda=1.0000, offset=1.0000

Datasets directory: /root/global/QuantumAnnealerModule/Inference/Datasets/Datasets_unbalanced

[Dataset 1/9: 00_iris_versicolor_virginica]
Loading dataset from: /root/global/QuantumAnnealerModule/Inference/Datasets/Datasets_unbalanced/00_iris_versicolor_virginica.csv
Dataset num features: X=(100, 4),
Class distribution: [50 50]
Running 5-Fold Cross Validation
Fold 1/5
  Training FullIsingModule...
Using model size: 50
  Epoch 195/200 | Loss: 0.5774
  Epoch 200/200 | Loss: 0.5725
  Single  | acc=0.8000 prec=0.8000 rec=0.8000 f1=0.8000 auc=0.8600
  Training ModularNetwork...
Using model size: 50
  Epoch 1/200 | Loss: 10.0788
  Epoch 5/200 | Loss: 1.5028
  Epoch 10/200 | Loss: 0.9745
  Epoch 15/200 | Loss: 0.5727
  Epoch 20/200 | Loss: 0.4858
  Epoch 25/200 | Loss: 0.4025
  Epoch 30/200 | Loss: 0.3886
  Epoch 35/200 | Loss: 0.3784
  Epoch 40/200 | Loss: 0.3258
  Epoch 45/200 | Loss: 0.2983
  Epoch 50/200 | Loss: 0.2915
  Epoch 55/200 | Loss: 0.2669
  Epoch 60/200 | Loss: 0.2619
  Epoch 65/200 | Loss: 0.2362
  Epoch 70/200 | Loss: 0.2366
  Epoch 75/200 | Loss: 0.2249
  Epoch 80/200 | Loss: 0.2138
  Epoch 85/200 | Loss: 0.1935
  Epoch 90/200 | Loss: 0.1771
  Epoch 95/200 | Loss: 0.1730
  Epoch 100/200 | Loss: 0.1702
  Epoch 105/200 | Loss: 0.1538
  Epoch 110/200 | Loss: 0.1501
  Epoch 115/200 | Loss: 0.1437
  Epoch 120/200 | Loss: 0.1309
  Epoch 125/200 | Loss: 0.1273
  Epoch 130/200 | Loss: 0.1189
  Epoch 135/200 | Loss: 0.1147
  Epoch 140/200 | Loss: 0.1011
  Epoch 145/200 | Loss: 0.1081
  Epoch 150/200 | Loss: 0.0941
  Epoch 155/200 | Loss: 0.1019
  Epoch 160/200 | Loss: 0.1017
  Epoch 165/200 | Loss: 0.0846
  Epoch 170/200 | Loss: 0.0816
  Epoch 175/200 | Loss: 0.0893
  Epoch 180/200 | Loss: 0.0737
  Epoch 185/200 | Loss: 0.0772
  Epoch 190/200 | Loss: 0.0736
  Epoch 195/200 | Loss: 0.0705
  Epoch 200/200 | Loss: 0.0608
  Modular | acc=0.9000 prec=0.8333 rec=1.0000 f1=0.9091 auc=0.8800
Fold 4/5
  Training FullIsingModule...
Using model size: 50
  Epoch 1/200 | Loss: 16.3340
  Epoch 5/200 | Loss: 13.5101
  Epoch 10/200 | Loss: 10.7344
  Epoch 15/200 | Loss: 10.6737
  Epoch 20/200 | Loss: 7.8529
  Epoch 25/200 | Loss: 6.5685
  Epoch 30/200 | Loss: 5.4517
  Epoch 35/200 | Loss: 3.8797
  Epoch 40/200 | Loss: 3.2887
  Epoch 45/200 | Loss: 3.3492
  Epoch 50/200 | Loss: 2.2550
  Epoch 55/200 | Loss: 1.8380
  Epoch 60/200 | Loss: 1.3189
  Epoch 65/200 | Loss: 1.0769
  Epoch 70/200 | Loss: 0.8937
  Epoch 75/200 | Loss: 0.7385
  Epoch 80/200 | Loss: 0.7369
  Epoch 85/200 | Loss: 0.6594
  Epoch 90/200 | Loss: 0.6929
  Epoch 95/200 | Loss: 0.6820
  Epoch 100/200 | Loss: 0.6262
  Epoch 105/200 | Loss: 0.6008
  Epoch 110/200 | Loss: 0.6144
  Epoch 115/200 | Loss: 0.5829
  Epoch 120/200 | Loss: 0.6045
  Epoch 125/200 | Loss: 0.5966
  Epoch 130/200 | Loss: 0.6122
  Epoch 135/200 | Loss: 0.5669
  Epoch 140/200 | Loss: 0.5768
  Epoch 145/200 | Loss: 0.6009
