=== EXP1: Matrix FullIsing vs Network1L ===

[EXP1] Dataset: xor_1d
[EXP1][xor_1d][Net1L][n=5][size=x4F] epoch 080/150 | loss=0.2492 | acc=0.4250
[EXP1][xor_1d][Net1L][n=5][size=x4F] epoch 100/150 | loss=0.2496 | acc=0.4000
[EXP1][xor_1d][Net1L][n=5][size=x4F] epoch 120/150 | loss=0.2493 | acc=0.4000
[EXP1][xor_1d][Net1L][n=5][size=x4F] epoch 140/150 | loss=0.2492 | acc=0.4250
[EXP1][xor_1d][Net1L][n=5][size=x4F] epoch 150/150 | loss=0.2491 | acc=0.4250
[EXP1][xor_1d][Net1L][n=8][size=x4F] epoch 001/150 | loss=0.2563 | acc=0.6000
[EXP1][xor_1d][Net1L][n=8][size=x4F] epoch 020/150 | loss=0.2504 | acc=0.5000
[EXP1][xor_1d][Net1L][n=8][size=x4F] epoch 040/150 | loss=0.2493 | acc=0.4000
[EXP1][xor_1d][Net1L][n=8][size=x4F] epoch 060/150 | loss=0.2494 | acc=0.4500
[EXP1][xor_1d][Net1L][n=8][size=x4F] epoch 080/150 | loss=0.2494 | acc=0.4250
[EXP1][xor_1d][Net1L][n=8][size=x4F] epoch 100/150 | loss=0.2494 | acc=0.3750
[EXP1][xor_1d][Net1L][n=8][size=x4F] epoch 120/150 | loss=0.2494 | acc=0.3750
[EXP1][xor_1d][Net1L][n=8][size=x4F] epoch 140/150 | loss=0.2493 | acc=0.4250
[EXP1][xor_1d][Net1L][n=8][size=x4F] epoch 150/150 | loss=0.2494 | acc=0.4000
[EXP1][xor_1d][Full][size=10] epoch 001/150 | loss=0.2962 | acc=0.5000
[EXP1][xor_1d][Full][size=10] epoch 020/150 | loss=0.2427 | acc=0.4250
[EXP1][xor_1d][Full][size=10] epoch 040/150 | loss=0.2430 | acc=0.4500
[EXP1][xor_1d][Full][size=10] epoch 060/150 | loss=0.2470 | acc=0.4000
[EXP1][xor_1d][Full][size=10] epoch 080/150 | loss=0.2439 | acc=0.4500
[EXP1][xor_1d][Full][size=10] epoch 100/150 | loss=0.2482 | acc=0.4500
[EXP1][xor_1d][Full][size=10] epoch 120/150 | loss=0.2424 | acc=0.3750
[EXP1][xor_1d][Full][size=10] epoch 140/150 | loss=0.2462 | acc=0.4500
[EXP1][xor_1d][Full][size=10] epoch 150/150 | loss=0.2416 | acc=0.4250
[EXP1][xor_1d][Net1L][n=1][size=10] epoch 001/150 | loss=0.2820 | acc=0.5000
[EXP1][xor_1d][Net1L][n=1][size=10] epoch 020/150 | loss=0.2597 | acc=0.4750
[EXP1][xor_1d][Net1L][n=1][size=10] epoch 040/150 | loss=0.2501 | acc=0.5000
[EXP1][xor_1d][Net1L][n=1][size=10] epoch 060/150 | loss=0.2442 | acc=0.4250
[EXP1][xor_1d][Net1L][n=1][size=10] epoch 080/150 | loss=0.2436 | acc=0.4250
