num_nodi,node_size,node_size_label,accuracy,f1,auc_roc,best_val_acc,final_loss,min_loss,training_time_s,n_params,error
10,4,x1F,0.6,0.6,0.63,0.65,0.6826047301292419,0.6816823482513428,136.56570020195795,191,
10,8,x2F,0.65,0.5333333333333333,0.7300000000000001,0.75,0.6106842756271362,0.5960678259531657,151.0820858310326,671,
10,12,x3F,0.6,0.5,0.75,0.8,0.48860875765482586,0.48860875765482586,167.99268108099932,1471,
10,16,x4F,0.65,0.5882352941176471,0.74,0.7,0.47948941588401794,0.43612120548884076,187.0894982839818,2591,
10,10,10,0.65,0.5882352941176471,0.64,0.7,0.6126246849695841,0.6005833745002747,159.41072399902623,1031,
10,20,20,0.7,0.6666666666666666,0.8099999999999999,0.8,0.40732720494270325,0.3759280542532603,209.02374473499367,4031,
10,30,30,0.65,0.5333333333333333,0.8000000000000002,0.85,0.27145735919475555,0.24802550673484802,276.8740357699571,9031,
10,40,40,0.8,0.7777777777777778,0.91,0.85,0.12088278432687123,0.11837710688511531,360.4804155320162,16031,
10,50,50,1.0,1.0,1.0,1.0,0.04788191057741642,0.03890146563450495,457.9596614589682,25031,
15,4,x1F,0.6,0.5,0.61,0.7,0.6868980328241984,0.6824085513750712,204.9500553199905,286,
15,8,x2F,0.6,0.42857142857142855,0.78,0.75,0.6029658714930216,0.6029658714930216,225.69095410598675,1006,
15,12,x3F,0.65,0.5333333333333333,0.79,0.75,0.5486507217089335,0.5260652999083201,250.79692936403444,2206,
15,16,x4F,0.55,0.4,0.8300000000000001,0.75,0.41965922713279724,0.41583846012751263,286.0247135619866,3886,
15,10,10,0.55,0.4,0.5900000000000001,0.6,0.5995902617772421,0.575747569402059,280.4743435460259,1546,
15,20,20,0.6,0.5,0.79,0.75,0.41221050421396893,0.4010865390300751,311.8043903670041,6046,
15,30,30,0.75,0.7058823529411765,0.8500000000000001,0.8,0.2590898374716441,0.25364112854003906,434.72182057303144,13546,
15,40,40,0.9,0.9,0.9500000000000001,0.9,0.060865034659703575,0.060865034659703575,537.7867511769873,24046,
15,50,50,1.0,1.0,1.0,1.0,0.02633422054350376,0.025149434804916382,728.7980746810208,37546,
