=== EXP2: Offset Sweep ===

[EXP2] Dataset: xor_1d
[EXP2][xor_1d][Net1L_small_neg][fold=1] epoch 120/200 | loss=0.6832 | acc=0.5750
[EXP2][xor_1d][Net1L_small_neg][fold=1] epoch 140/200 | loss=0.6564 | acc=0.5250
[EXP2][xor_1d][Net1L_small_neg][fold=1] epoch 160/200 | loss=0.6682 | acc=0.8500
[EXP2][xor_1d][Net1L_small_neg][fold=1] epoch 180/200 | loss=0.6409 | acc=0.5000
[EXP2][xor_1d][Net1L_small_neg][fold=1] epoch 200/200 | loss=0.6137 | acc=0.5000
[EXP2][xor_1d][Net1L_large_neg][fold=1] epoch 001/200 | loss=8.6540 | acc=0.5000
[EXP2][xor_1d][Net1L_large_neg][fold=1] epoch 020/200 | loss=0.5170 | acc=0.8250
[EXP2][xor_1d][Net1L_large_neg][fold=1] epoch 040/200 | loss=0.2384 | acc=0.9500
[EXP2][xor_1d][Net1L_large_neg][fold=1] epoch 060/200 | loss=0.1103 | acc=1.0000
[EXP2][xor_1d][Net1L_large_neg][fold=1] epoch 080/200 | loss=0.0719 | acc=1.0000
[EXP2][xor_1d][Net1L_large_neg][fold=1] epoch 100/200 | loss=0.0555 | acc=1.0000
[EXP2][xor_1d][Net1L_large_neg][fold=1] epoch 120/200 | loss=0.0466 | acc=1.0000
[EXP2][xor_1d][Net1L_large_neg][fold=1] epoch 140/200 | loss=0.0441 | acc=0.9500
[EXP2][xor_1d][Net1L_large_neg][fold=1] epoch 160/200 | loss=0.0336 | acc=1.0000
[EXP2][xor_1d][Net1L_large_neg][fold=1] epoch 180/200 | loss=0.0337 | acc=1.0000
[EXP2][xor_1d][Net1L_large_neg][fold=1] epoch 200/200 | loss=0.0294 | acc=1.0000
[EXP2][xor_1d][Net1L_large_pos][fold=1] epoch 001/200 | loss=4.7567 | acc=0.5000
[EXP2][xor_1d][Net1L_large_pos][fold=1] epoch 020/200 | loss=0.4178 | acc=0.9000
[EXP2][xor_1d][Net1L_large_pos][fold=1] epoch 040/200 | loss=0.1464 | acc=0.9250
[EXP2][xor_1d][Net1L_large_pos][fold=1] epoch 060/200 | loss=0.1001 | acc=1.0000
[EXP2][xor_1d][Net1L_large_pos][fold=1] epoch 080/200 | loss=0.1444 | acc=0.8750
[EXP2][xor_1d][Net1L_large_pos][fold=1] epoch 100/200 | loss=0.2184 | acc=0.8750
[EXP2][xor_1d][Net1L_large_pos][fold=1] epoch 120/200 | loss=0.1921 | acc=0.9500
[EXP2][xor_1d][Net1L_large_pos][fold=1] epoch 140/200 | loss=0.1396 | acc=0.9000
[EXP2][xor_1d][Net1L_large_pos][fold=1] epoch 160/200 | loss=0.1348 | acc=0.9250
[EXP2][xor_1d][Net1L_large_pos][fold=1] epoch 180/200 | loss=0.1133 | acc=0.9000
[EXP2][xor_1d][Net1L_large_pos][fold=1] epoch 200/200 | loss=0.0901 | acc=0.9000

[EXP2] Dataset: xor_2d
[EXP2][xor_2d][FullIsing_default][fold=1] epoch 001/200 | loss=1.7120 | acc=0.5000
[EXP2][xor_2d][FullIsing_default][fold=1] epoch 020/200 | loss=0.5946 | acc=0.6500
[EXP2][xor_2d][FullIsing_default][fold=1] epoch 040/200 | loss=0.5348 | acc=0.6500
[EXP2][xor_2d][FullIsing_default][fold=1] epoch 060/200 | loss=0.5048 | acc=0.6500
[EXP2][xor_2d][FullIsing_default][fold=1] epoch 080/200 | loss=0.4951 | acc=0.6625
[EXP2][xor_2d][FullIsing_default][fold=1] epoch 100/200 | loss=0.4858 | acc=0.6875
[EXP2][xor_2d][FullIsing_default][fold=1] epoch 120/200 | loss=0.4797 | acc=0.6625
[EXP2][xor_2d][FullIsing_default][fold=1] epoch 140/200 | loss=0.4763 | acc=0.6625
[EXP2][xor_2d][FullIsing_default][fold=1] epoch 160/200 | loss=0.4756 | acc=0.6625
[EXP2][xor_2d][FullIsing_default][fold=1] epoch 180/200 | loss=0.4713 | acc=0.6750
[EXP2][xor_2d][FullIsing_default][fold=1] epoch 200/200 | loss=0.4771 | acc=0.6625
[EXP2][xor_2d][FullIsing_1_over_N][fold=1] epoch 001/200 | loss=1.7234 | acc=0.5000
[EXP2][xor_2d][FullIsing_1_over_N][fold=1] epoch 020/200 | loss=0.6016 | acc=0.6875
[EXP2][xor_2d][FullIsing_1_over_N][fold=1] epoch 040/200 | loss=0.5414 | acc=0.7375
[EXP2][xor_2d][FullIsing_1_over_N][fold=1] epoch 060/200 | loss=0.5147 | acc=0.7375
[EXP2][xor_2d][FullIsing_1_over_N][fold=1] epoch 080/200 | loss=0.5032 | acc=0.7375
[EXP2][xor_2d][FullIsing_1_over_N][fold=1] epoch 100/200 | loss=0.4975 | acc=0.7500
[EXP2][xor_2d][FullIsing_1_over_N][fold=1] epoch 120/200 | loss=0.4928 | acc=0.7375
[EXP2][xor_2d][FullIsing_1_over_N][fold=1] epoch 140/200 | loss=0.4863 | acc=0.7375
[EXP2][xor_2d][FullIsing_1_over_N][fold=1] epoch 160/200 | loss=0.4862 | acc=0.7375
[EXP2][xor_2d][FullIsing_1_over_N][fold=1] epoch 180/200 | loss=0.4849 | acc=0.7375
[EXP2][xor_2d][FullIsing_1_over_N][fold=1] epoch 200/200 | loss=0.4887 | acc=0.7375
[EXP2][xor_2d][FullIsing_zero][fold=1] epoch 001/200 | loss=1.6578 | acc=0.5000
[EXP2][xor_2d][FullIsing_zero][fold=1] epoch 020/200 | loss=0.5501 | acc=0.6625
[EXP2][xor_2d][FullIsing_zero][fold=1] epoch 040/200 | loss=0.4521 | acc=0.7500
[EXP2][xor_2d][FullIsing_zero][fold=1] epoch 060/200 | loss=0.4055 | acc=0.7875
[EXP2][xor_2d][FullIsing_zero][fold=1] epoch 080/200 | loss=0.3857 | acc=0.8250
[EXP2][xor_2d][FullIsing_zero][fold=1] epoch 100/200 | loss=0.3737 | acc=0.8375
[EXP2][xor_2d][FullIsing_zero][fold=1] epoch 120/200 | loss=0.3680 | acc=0.8250
[EXP2][xor_2d][FullIsing_zero][fold=1] epoch 140/200 | loss=0.3587 | acc=0.8000
[EXP2][xor_2d][FullIsing_zero][fold=1] epoch 160/200 | loss=0.3595 | acc=0.8375
[EXP2][xor_2d][FullIsing_zero][fold=1] epoch 180/200 | loss=0.3546 | acc=0.8375
[EXP2][xor_2d][FullIsing_zero][fold=1] epoch 200/200 | loss=0.3563 | acc=0.8500
[EXP2][xor_2d][FullIsing_small_neg][fold=1] epoch 001/200 | loss=1.6561 | acc=0.5125
[EXP2][xor_2d][FullIsing_small_neg][fold=1] epoch 020/200 | loss=0.5498 | acc=0.6500
[EXP2][xor_2d][FullIsing_small_neg][fold=1] epoch 040/200 | loss=0.4521 | acc=0.7875
[EXP2][xor_2d][FullIsing_small_neg][fold=1] epoch 060/200 | loss=0.4063 | acc=0.7875
[EXP2][xor_2d][FullIsing_small_neg][fold=1] epoch 080/200 | loss=0.3861 | acc=0.8375
[EXP2][xor_2d][FullIsing_small_neg][fold=1] epoch 100/200 | loss=0.3749 | acc=0.8375
[EXP2][xor_2d][FullIsing_small_neg][fold=1] epoch 120/200 | loss=0.3685 | acc=0.8500
[EXP2][xor_2d][FullIsing_small_neg][fold=1] epoch 140/200 | loss=0.3600 | acc=0.8000
