xor_dim,num_nodi,node_size,node_size_label,accuracy,f1,auc_roc,best_val_acc,final_loss,min_loss,loss_stability,convergence_epoch,training_time_s,n_params,error
1,8,3,x3F,0.5,0.6666666666666666,0.66,0.5,0.713093638420105,0.713093638420105,0.0003117024898529053,,2.4062370009487495,97,
1,8,4,x4F,0.6,0.5,0.7225,0.65,0.6816837787628174,0.6816837787628174,0.0005428493022918701,,2.45621068298351,153,
1,8,10,10,0.5,0.0,0.1,0.5,0.8850623369216919,0.8850623369216919,0.0034724771976470947,,2.5716804430121556,825,
1,8,20,20,0.5,0.6666666666666666,1.0,0.5,0.6677023768424988,0.6677023768424988,0.005776554346084595,,3.1750693200156093,3225,
1,8,30,30,0.1,0.0,0.0,0.275,0.8207915425300598,0.8207915425300598,0.02025693655014038,,4.153985643060878,7225,
1,8,40,40,0.5,0.0,0.0,0.5,4.2167534828186035,4.2167534828186035,0.0961296558380127,,5.176224290044047,12825,
1,8,50,50,0.5,0.6666666666666666,1.0,0.5,0.9294965863227844,0.9294965863227844,0.08092072606086731,,6.808908067061566,20025,
1,10,1,x1F,0.4,0.3684210526315789,0.41750000000000004,0.4,0.6932608485221863,0.6932608485221863,8.299946784973145e-05,,2.842600635951385,41,
1,10,2,x2F,0.65,0.6818181818181818,0.63,0.65,0.6898528337478638,0.6898528337478638,0.0001843273639678955,,2.898840956040658,71,
1,10,3,x3F,0.325,0.34146341463414637,0.33000000000000007,0.325,0.7089443802833557,0.7089443802833557,0.0001963973045349121,,3.0005664250347763,121,
1,10,4,x4F,0.5,0.0,0.3025,0.5,0.7126349806785583,0.7126349806785583,0.0009739995002746582,,2.986731009907089,191,
1,10,10,10,0.5,0.6666666666666666,0.8999999999999999,0.5,0.6810393333435059,0.6810393333435059,0.0005536079406738281,,3.2294859680114314,1031,
1,10,20,20,0.5,0.6666666666666666,1.0,0.5,0.7167021632194519,0.7167021632194519,0.012191206216812134,,4.0688108240719885,4031,
1,10,30,30,0.5,0.0,0.0,0.5,2.0499727725982666,2.0499727725982666,0.05021929740905762,,5.072187877027318,9031,
1,10,40,40,0.5,0.0,0.0,0.5,1.8323497772216797,1.8323497772216797,0.084464430809021,,6.680450172978453,16031,
1,10,50,50,0.5,0.6666666666666666,1.0,0.5,5.834494113922119,5.834494113922119,0.12631654739379883,,8.364488495048136,25031,
1,15,1,x1F,0.5,0.0,0.41500000000000004,0.5,0.6937537789344788,0.6937537789344788,0.0001468062400817871,,4.2079089359613135,61,
1,15,2,x2F,0.5,0.6666666666666666,0.36750000000000005,0.5,0.6962327361106873,0.6962327361106873,2.6941299438476562e-05,,4.461746099987067,106,
1,15,3,x3F,0.6,0.6190476190476191,0.6675,0.6,0.6884774565696716,0.6884774565696716,0.0002923905849456787,,4.329602100071497,181,
1,15,4,x4F,0.65,0.6956521739130435,0.72,0.65,0.6742817759513855,0.6742817759513855,0.00015017390251159668,,4.402048091986217,286,
1,15,10,10,0.5,0.6666666666666666,0.8999999999999999,0.5,0.6507782340049744,0.6507782340049744,0.0013570785522460938,,4.884106538025662,1546,
1,15,20,20,0.5,0.0,1.0,0.5,0.7030758261680603,0.7030758261680603,0.01626056432723999,,5.98549828492105,6046,
1,15,30,30,0.5,0.6666666666666666,1.0,0.5,0.6803175210952759,0.6803175210952759,0.02270546555519104,,7.668421249021776,13546,
1,15,40,40,0.5,0.6666666666666666,1.0,0.5,0.6990372538566589,0.6990372538566589,0.025544703006744385,,9.89170933002606,24046,
1,15,50,50,0.5,0.0,0.0,0.5,4.8550238609313965,4.8550238609313965,0.20272302627563477,,12.623212361009791,37546,
